(at time 1, process idx=0 , remaining cpu-burst=15) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 55, process idx=3 , remaining cpu-burst=15) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 56, process idx=3 , remaining cpu-burst=14) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 57, process idx=3 , remaining cpu-burst=13) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 58, process idx=3 , remaining cpu-burst=12) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 59, process idx=3 , remaining cpu-burst=11) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 60, process idx=3 , remaining cpu-burst=10) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 61, process idx=3 , remaining cpu-burst=9) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 62, process idx=3 , remaining cpu-burst=8) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 63, process idx=3 , remaining cpu-burst=7) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 64, process idx=3 , remaining cpu-burst=6) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 65, process idx=3 , remaining cpu-burst=5) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 66, process idx=3 , remaining cpu-burst=4) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 67, process idx=3 , remaining cpu-burst=3) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 68, process idx=3 , remaining cpu-burst=2) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 69, process idx=3 , remaining cpu-burst=1) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 70, process idx=4 , remaining cpu-burst=13) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=5)]
(at time 71, process idx=4 , remaining cpu-burst=12) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=4)]
(at time 72, process idx=4 , remaining cpu-burst=11) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=3)]
(at time 73, process idx=4 , remaining cpu-burst=10) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=2)]
(at time 74, process idx=4 , remaining cpu-burst=9) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=1)]
(at time 75, process idx=4 , remaining cpu-burst=8) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 76, process idx=4 , remaining cpu-burst=7) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 77, process idx=4 , remaining cpu-burst=6) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 78, process idx=4 , remaining cpu-burst=5) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 79, process idx=4 , remaining cpu-burst=4) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 80, process idx=4 , remaining cpu-burst=3) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 81, process idx=4 , remaining cpu-burst=2) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 82, process idx=4 , remaining cpu-burst=1) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 83, process idx=5 , remaining cpu-burst=7) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=11)]
(at time 84, process idx=5 , remaining cpu-burst=6) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=10)]
(at time 85, process idx=5 , remaining cpu-burst=5) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=9)]
(at time 86, process idx=5 , remaining cpu-burst=4) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=8)]
(at time 87, process idx=5 , remaining cpu-burst=3) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=7)]
(at time 88, process idx=5 , remaining cpu-burst=2) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=6)]
(at time 89, process idx=5 , remaining cpu-burst=1) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=5)]
(at time 90, process idx=6 , remaining cpu-burst=5) run-queue [7 8 9 0 1 2 3], wait-queue [4(io=4) 5(io=6)]
(at time 91, process idx=6 , remaining cpu-burst=4) run-queue [7 8 9 0 1 2 3], wait-queue [4(io=3) 5(io=5)]
(at time 92, process idx=6 , remaining cpu-burst=3) run-queue [7 8 9 0 1 2 3], wait-queue [4(io=2) 5(io=4)]
(at time 93, process idx=6 , remaining cpu-burst=2) run-queue [7 8 9 0 1 2 3], wait-queue [4(io=1) 5(io=3)]
(at time 94, process idx=6 , remaining cpu-burst=1) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=2)]
(at time 95, process idx=7 , remaining cpu-burst=13) run-queue [8 9 0 1 2 3 4], wait-queue [5(io=1) 6(io=6)]
(at time 96, process idx=7 , remaining cpu-burst=12) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=5)]
(at time 97, process idx=7 , remaining cpu-burst=11) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=4)]
(at time 98, process idx=7 , remaining cpu-burst=10) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=3)]
(at time 99, process idx=7 , remaining cpu-burst=9) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=2)]
(at time 100, process idx=7 , remaining cpu-burst=8) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=1)]
(at time 101, process idx=7 , remaining cpu-burst=7) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 102, process idx=7 , remaining cpu-burst=6) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 103, process idx=7 , remaining cpu-burst=5) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 104, process idx=7 , remaining cpu-burst=4) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 105, process idx=7 , remaining cpu-burst=3) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 106, process idx=7 , remaining cpu-burst=2) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 107, process idx=7 , remaining cpu-burst=1) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 108, process idx=8 , remaining cpu-burst=11) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=8)]
(at time 109, process idx=8 , remaining cpu-burst=10) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=7)]
(at time 110, process idx=8 , remaining cpu-burst=9) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=6)]
(at time 111, process idx=8 , remaining cpu-burst=8) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=5)]
(at time 112, process idx=8 , remaining cpu-burst=7) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=4)]
(at time 113, process idx=8 , remaining cpu-burst=6) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=3)]
(at time 114, process idx=8 , remaining cpu-burst=5) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=2)]
(at time 115, process idx=8 , remaining cpu-burst=4) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=1)]
(at time 116, process idx=8 , remaining cpu-burst=3) run-queue [9 0 1 2 3 4 5 6 7], wait-queue []
(at time 117, process idx=8 , remaining cpu-burst=2) run-queue [9 0 1 2 3 4 5 6 7], wait-queue []
(at time 118, process idx=8 , remaining cpu-burst=1) run-queue [9 0 1 2 3 4 5 6 7], wait-queue []
(at time 119, process idx=9 , remaining cpu-burst=5) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=13)]
(at time 120, process idx=9 , remaining cpu-burst=4) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=12)]
(at time 121, process idx=9 , remaining cpu-burst=3) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=11)]
(at time 122, process idx=9 , remaining cpu-burst=2) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=10)]
(at time 123, process idx=9 , remaining cpu-burst=1) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=9)]
(at time 124, process idx=0 , remaining cpu-burst=20) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=8) 9(io=8)]
(at time 125, process idx=0 , remaining cpu-burst=19) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=7) 9(io=7)]
(at time 126, process idx=0 , remaining cpu-burst=18) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=6) 9(io=6)]
(at time 127, process idx=0 , remaining cpu-burst=17) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=5) 9(io=5)]
(at time 128, process idx=0 , remaining cpu-burst=16) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=4) 9(io=4)]
(at time 129, process idx=0 , remaining cpu-burst=15) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=3) 9(io=3)]
(at time 130, process idx=0 , remaining cpu-burst=14) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=2) 9(io=2)]
(at time 131, process idx=0 , remaining cpu-burst=13) run-queue [1 2 3 4 5 6 7], wait-queue [8(io=1) 9(io=1)]
(at time 132, process idx=0 , remaining cpu-burst=12) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 133, process idx=0 , remaining cpu-burst=11) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 134, process idx=0 , remaining cpu-burst=10) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 135, process idx=0 , remaining cpu-burst=9) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 136, process idx=0 , remaining cpu-burst=8) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 137, process idx=0 , remaining cpu-burst=7) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 138, process idx=0 , remaining cpu-burst=6) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 139, process idx=0 , remaining cpu-burst=5) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 140, process idx=0 , remaining cpu-burst=4) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 141, process idx=0 , remaining cpu-burst=3) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 142, process idx=0 , remaining cpu-burst=2) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 143, process idx=0 , remaining cpu-burst=1) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 144, process idx=1 , remaining cpu-burst=16) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=9)]
(at time 145, process idx=1 , remaining cpu-burst=15) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=8)]
(at time 146, process idx=1 , remaining cpu-burst=14) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=7)]
(at time 147, process idx=1 , remaining cpu-burst=13) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=6)]
(at time 148, process idx=1 , remaining cpu-burst=12) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=5)]
(at time 149, process idx=1 , remaining cpu-burst=11) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=4)]
(at time 150, process idx=1 , remaining cpu-burst=10) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=3)]
(at time 151, process idx=1 , remaining cpu-burst=9) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=2)]
(at time 152, process idx=1 , remaining cpu-burst=8) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=1)]
(at time 153, process idx=1 , remaining cpu-burst=7) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 154, process idx=1 , remaining cpu-burst=6) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 155, process idx=1 , remaining cpu-burst=5) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 156, process idx=1 , remaining cpu-burst=4) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 157, process idx=1 , remaining cpu-burst=3) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 158, process idx=1 , remaining cpu-burst=2) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 159, process idx=1 , remaining cpu-burst=1) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 160, process idx=2 , remaining cpu-burst=13) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=5)]
(at time 161, process idx=2 , remaining cpu-burst=12) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=4)]
(at time 162, process idx=2 , remaining cpu-burst=11) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=3)]
(at time 163, process idx=2 , remaining cpu-burst=10) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=2)]
(at time 164, process idx=2 , remaining cpu-burst=9) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=1)]
(at time 165, process idx=2 , remaining cpu-burst=8) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 166, process idx=2 , remaining cpu-burst=7) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 167, process idx=2 , remaining cpu-burst=6) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 168, process idx=2 , remaining cpu-burst=5) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 169, process idx=2 , remaining cpu-burst=4) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 170, process idx=2 , remaining cpu-burst=3) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 171, process idx=2 , remaining cpu-burst=2) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 172, process idx=2 , remaining cpu-burst=1) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 173, process idx=3 , remaining cpu-burst=15) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=7)]
(at time 174, process idx=3 , remaining cpu-burst=14) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=6)]
(at time 175, process idx=3 , remaining cpu-burst=13) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=5)]
(at time 176, process idx=3 , remaining cpu-burst=12) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=4)]
(at time 177, process idx=3 , remaining cpu-burst=11) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=3)]
(at time 178, process idx=3 , remaining cpu-burst=10) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=2)]
(at time 179, process idx=3 , remaining cpu-burst=9) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=1)]
(at time 180, process idx=3 , remaining cpu-burst=8) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 181, process idx=3 , remaining cpu-burst=7) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 182, process idx=3 , remaining cpu-burst=6) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 183, process idx=3 , remaining cpu-burst=5) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 184, process idx=3 , remaining cpu-burst=4) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 185, process idx=3 , remaining cpu-burst=3) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 186, process idx=3 , remaining cpu-burst=2) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 187, process idx=3 , remaining cpu-burst=1) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 188, process idx=4 , remaining cpu-burst=9) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=13)]
(at time 189, process idx=4 , remaining cpu-burst=8) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=12)]
(at time 190, process idx=4 , remaining cpu-burst=7) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=11)]
(at time 191, process idx=4 , remaining cpu-burst=6) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=10)]
(at time 192, process idx=4 , remaining cpu-burst=5) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=9)]
(at time 193, process idx=4 , remaining cpu-burst=4) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=8)]
(at time 194, process idx=4 , remaining cpu-burst=3) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=7)]
(at time 195, process idx=4 , remaining cpu-burst=2) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=6)]
(at time 196, process idx=4 , remaining cpu-burst=1) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=5)]
(at time 197, process idx=5 , remaining cpu-burst=19) run-queue [6 7 8 9 0 1 2], wait-queue [3(io=4) 4(io=4)]
(at time 198, process idx=5 , remaining cpu-burst=18) run-queue [6 7 8 9 0 1 2], wait-queue [3(io=3) 4(io=3)]
(at time 199, process idx=5 , remaining cpu-burst=17) run-queue [6 7 8 9 0 1 2], wait-queue [3(io=2) 4(io=2)]
(at time 200, process idx=5 , remaining cpu-burst=16) run-queue [6 7 8 9 0 1 2], wait-queue [3(io=1) 4(io=1)]
(at time 201, process idx=5 , remaining cpu-burst=15) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 202, process idx=5 , remaining cpu-burst=14) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 203, process idx=5 , remaining cpu-burst=13) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 204, process idx=5 , remaining cpu-burst=12) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 205, process idx=5 , remaining cpu-burst=11) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 206, process idx=5 , remaining cpu-burst=10) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 207, process idx=5 , remaining cpu-burst=9) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 208, process idx=5 , remaining cpu-burst=8) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 209, process idx=5 , remaining cpu-burst=7) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 210, process idx=5 , remaining cpu-burst=6) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 211, process idx=5 , remaining cpu-burst=5) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 212, process idx=5 , remaining cpu-burst=4) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 213, process idx=5 , remaining cpu-burst=3) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 214, process idx=5 , remaining cpu-burst=2) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 215, process idx=5 , remaining cpu-burst=1) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 216, process idx=6 , remaining cpu-burst=9) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=8)]
(at time 217, process idx=6 , remaining cpu-burst=8) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=7)]
(at time 218, process idx=6 , remaining cpu-burst=7) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=6)]
(at time 219, process idx=6 , remaining cpu-burst=6) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=5)]
(at time 220, process idx=6 , remaining cpu-burst=5) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=4)]
(at time 221, process idx=6 , remaining cpu-burst=4) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=3)]
(at time 222, process idx=6 , remaining cpu-burst=3) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=2)]
(at time 223, process idx=6 , remaining cpu-burst=2) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=1)]
(at time 224, process idx=6 , remaining cpu-burst=1) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 225, process idx=7 , remaining cpu-burst=5) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=12)]
(at time 226, process idx=7 , remaining cpu-burst=4) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=11)]
(at time 227, process idx=7 , remaining cpu-burst=3) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=10)]
(at time 228, process idx=7 , remaining cpu-burst=2) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=9)]
(at time 229, process idx=7 , remaining cpu-burst=1) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=8)]
(at time 230, process idx=8 , remaining cpu-burst=15) run-queue [9 0 1 2 3 4 5], wait-queue [6(io=7) 7(io=4)]
(at time 231, process idx=8 , remaining cpu-burst=14) run-queue [9 0 1 2 3 4 5], wait-queue [6(io=6) 7(io=3)]
(at time 232, process idx=8 , remaining cpu-burst=13) run-queue [9 0 1 2 3 4 5], wait-queue [6(io=5) 7(io=2)]
(at time 233, process idx=8 , remaining cpu-burst=12) run-queue [9 0 1 2 3 4 5], wait-queue [6(io=4) 7(io=1)]
(at time 234, process idx=8 , remaining cpu-burst=11) run-queue [9 0 1 2 3 4 5 7], wait-queue [6(io=3)]
(at time 235, process idx=8 , remaining cpu-burst=10) run-queue [9 0 1 2 3 4 5 7], wait-queue [6(io=2)]
(at time 236, process idx=8 , remaining cpu-burst=9) run-queue [9 0 1 2 3 4 5 7], wait-queue [6(io=1)]
(at time 237, process idx=8 , remaining cpu-burst=8) run-queue [9 0 1 2 3 4 5 7 6], wait-queue []
(at time 238, process idx=8 , remaining cpu-burst=7) run-queue [9 0 1 2 3 4 5 7 6], wait-queue []
(at time 239, process idx=8 , remaining cpu-burst=6) run-queue [9 0 1 2 3 4 5 7 6], wait-queue []
(at time 240, process idx=8 , remaining cpu-burst=5) run-queue [9 0 1 2 3 4 5 7 6], wait-queue []
